layer,head,restoration
0,0,-0.006603693429300254
0,1,0.02356738623377517
0,2,0.0019494093430340144
0,3,0.0014187595987953429
0,4,-0.0007301791349202134
0,5,0.02660406823747258
0,6,0.0051848406008621365
0,7,0.05786744821006755
0,8,0.118704190630762
0,9,-0.012264338424112125
0,10,-0.002294633245432578
0,11,0.06818214086108676
1,0,0.15596947996801186
1,1,0.010883663265466435
1,2,-0.02830397991191615
1,3,-0.003093093449912727
1,4,-0.008165344687157126
1,5,0.05523801278532135
1,6,-0.03974943454758227
1,7,0.2238840351484846
1,8,-0.1294885322019096
1,9,0.011668173058199897
1,10,0.0644928000136157
1,11,-0.0016398796745326438
2,0,0.07531419347253006
2,1,-0.011594946240222894
2,2,0.0022754278594409056
2,3,0.012427698027915096
2,4,-0.01720802467553678
2,5,0.009041961208520811
2,6,-0.07892952231925851
2,7,-0.023784779775990566
2,8,0.02709832509910381
2,9,0.031450906953181916
2,10,0.0007430683237360921
2,11,-0.009450583235874988
3,0,-0.08663483864586653
3,1,-0.13494341830110498
3,2,0.024609061951843113
3,3,-0.02226133006296368
3,4,0.03601569264483679
3,5,-0.04345714004265265
3,6,0.13222114835154522
3,7,-0.08481813866323921
3,8,-0.08230469638753173
3,9,0.08853844926784683
3,10,-0.1795878566425915
3,11,-0.033774776993966714
4,0,0.04351508091831325
4,1,0.10367222694686118
4,2,-0.1468976985156462
4,3,0.11415437101260104
4,4,0.17517253756255174
4,5,0.005709275345561189
4,6,-0.30410398718432013
4,7,0.011023188354525959
4,8,-0.010203443608912325
4,9,-0.04212149532075593
4,10,-0.1634693689301982
4,11,-0.013408413351649459
5,0,0.07925300864295981
5,1,0.21178150212086785
5,2,0.03637908982051475
5,3,-0.3472058008163218
5,4,-0.0736686754503995
5,5,-0.008192007147889958
5,6,0.039285002675952675
5,7,-0.07655319128238543
5,8,-0.20061558241249947
5,9,0.03180507915365574
5,10,-0.0285070791742251
5,11,0.03561442442699087
6,0,-0.06827257450534335
6,1,0.07589246417466411
6,2,-0.03378202076087359
6,3,0.0035672405462284654
6,4,-0.21561645425395276
6,5,0.017849730118597876
6,6,-0.001673337343442002
6,7,0.06447944152729757
6,8,-0.19511011010694987
6,9,-0.04133701380587627
6,10,0.05444505177152806
6,11,-0.02914938256859734
7,0,-0.20909252386439767
7,1,-0.009502623623583886
7,2,0.12832356571481227
7,3,-0.014591384668250572
7,4,-0.008843349465350557
7,5,0.019053052372834507
7,6,0.014811840192501641
7,7,0.013980783359445796
7,8,0.598316689985873
7,9,-0.057265826916604916
7,10,0.030097443695450275
7,11,0.009972499438181986
8,0,-0.046526382402567915
8,1,-0.0768490604424152
8,2,-0.014310646551047483
8,3,0.0066495416746488656
8,4,-0.07928425220862274
8,5,0.00305129673439942
8,6,0.025579059622049604
8,7,-0.0022414890650480053
8,8,-0.04863833262091849
8,9,-0.047501563322629
8,10,0.06842336663194332
8,11,0.001469946990584289
9,0,0.0023895405739043692
9,1,0.04983707633094175
9,2,-0.024801772310050516
9,3,-0.00733769854706568
9,4,0.02801095330226129
9,5,-0.0179311455009971
9,6,0.0453534199062685
9,7,0.033663340870557314
9,8,0.003967166539104174
9,9,-0.05039514611708574
9,10,0.09773859509246621
9,11,0.0016687378679638805
10,0,-0.07388877746210826
10,1,0.04301379370595461
10,2,0.2133264870818138
10,3,0.03251375952140066
10,4,0.04354345815757891
10,5,0.009575548349690557
10,6,0.09923280011012087
10,7,0.11602073603171936
10,8,0.020735075555049273
10,9,0.06335967032422324
10,10,0.09018270106499353
10,11,0.05383168550412172
11,0,0.330411968860123
11,1,-0.15322934036000885
11,2,0.11157451622811347
11,3,0.06599004229283828
11,4,-0.027039870716292658
11,5,0.08834239823749952
11,6,0.012806970356942685
11,7,-0.12160530728544243
11,8,-0.12415163024320736
11,9,-0.14420225062339317
11,10,0.0029403610820239257
11,11,0.11834841994091132
