layer,head,singular_index,singular_value,input_left_singular_cosine,input_left_singular_abs_cosine,output_write_singular_cosine,output_write_singular_abs_cosine
2,7,356,5.090133027485919e-08,-0.02574584423309277,0.02574584423309277,0.12611455566058075,0.12611455566058075
2,7,681,9.604405285293842e-09,-0.019464747119169137,0.019464747119169137,-0.12507379896921744,0.12507379896921744
2,7,78,1.315610964550161e-07,-0.004322965186709464,0.004322965186709464,0.1164096753201743,0.1164096753201743
2,7,430,4.015528403240676e-08,0.03037657509554389,0.03037657509554389,-0.11305334430795105,0.11305334430795105
2,7,404,4.3784313262486386e-08,0.006581488468467435,0.006581488468467435,-0.10920043204072503,0.10920043204072503
2,7,282,6.317824549034647e-08,-0.005906581473975365,0.005906581473975365,0.10003056733122018,0.10003056733122018
2,7,172,8.699508507909543e-08,-0.04961792250492391,0.04961792250492391,0.09878115629779698,0.09878115629779698
2,7,262,6.695951219835737e-08,-0.026866457257018486,0.026866457257018486,0.09664052601763987,0.09664052601763987
2,7,585,2.0508582655059045e-08,0.014862378116782744,0.014862378116782744,-0.09642874676706384,0.09642874676706384
2,7,82,1.283703931145462e-07,0.010018095541733685,0.010018095541733685,-0.09333720685584451,0.09333720685584451
2,7,492,3.20158251560901e-08,0.02269589848657716,0.02269589848657716,-0.09233346831487174,0.09233346831487174
2,7,132,9.983368551494807e-08,-0.03982923349025155,0.03982923349025155,0.09128066810324853,0.09128066810324853
2,7,12,1.6054310879658433,0.001436069339428878,0.001436069339428878,0.090891988072011,0.090891988072011
2,7,376,4.7820440366050644e-08,0.03390509946262365,0.03390509946262365,-0.08806194339362762,0.08806194339362762
2,7,651,1.2864343959377806e-08,0.009779616082853746,0.009779616082853746,0.08742516957658479,0.08742516957658479
2,7,272,6.497686280950639e-08,0.03371939428810247,0.03371939428810247,0.08589384062414127,0.08589384062414127
2,7,414,4.2470955285914826e-08,-0.01604632797554592,0.01604632797554592,-0.08578388028679058,0.08578388028679058
2,7,179,8.55116878137706e-08,-0.029507969805874393,0.029507969805874393,-0.08370388655791014,0.08370388655791014
2,7,311,5.797845552014713e-08,0.0577387500951875,0.0577387500951875,0.08112258123634403,0.08112258123634403
2,7,384,4.663648960537466e-08,0.023654922444339473,0.023654922444339473,0.07982073642887755,0.07982073642887755
2,7,760,7.440234975206019e-10,-0.032009513559068954,0.032009513559068954,0.07882952173456381,0.07882952173456381
2,7,329,5.513532872963039e-08,0.04716886215482482,0.04716886215482482,0.07867103708315253,0.07867103708315253
2,7,581,2.107115046225747e-08,0.017269303912912762,0.017269303912912762,0.07628034620530826,0.07628034620530826
2,7,173,8.69071733542881e-08,-0.03777159137168587,0.03777159137168587,0.07624012847271608,0.07624012847271608
2,7,264,6.630316492250658e-08,-0.020657368561245757,0.020657368561245757,0.07534913530820445,0.07534913530820445
